date,open,high,low,close,adj close,volume
2019-06-21,61.06,61.56,60.56,61.31,0.0,913061
2019-06-20,61.61,62.43,60.91,61.35,0.0,536581
2019-06-19,60.65,61.58,59.51,61.27,0.0,531924
2019-06-18,61.19,61.41,60.06,60.51,0.0,579663
2019-06-17,61.17,61.17,60.22,60.9,0.0,790348
2019-06-14,60.78,61.01,59.99,60.59,0.0,443525
2019-06-13,60.41,61.07,59.6,61.07,0.0,1124313
2019-06-12,59.58,60.72,59.5,60.15,0.0,710580
2019-06-11,59.65,60.37,58.61,59.05,0.0,580558
2019-06-10,56.96,60.45,56.74,59.23,0.0,1137158
2019-06-07,54.89,55.91,54.66,55.72,0.0,470881
2019-06-06,54.97,55.16,54.0,54.72,0.0,535588
2019-06-05,54.88,55.98,54.15,54.97,0.0,519500
2019-06-04,53.7,54.92,53.49,54.88,0.0,576849
2019-06-03,53.21,53.79,52.62,53.18,0.0,480641
2019-05-31,54.0,54.34,52.86,53.26,0.0,587000
2019-05-30,54.75,55.21,54.13,54.67,0.0,288537
2019-05-29,54.53,54.68,53.58,54.34,0.0,353719
2019-05-28,54.48,55.65,54.36,55.04,0.0,446083
2019-05-24,53.64,54.86,53.62,54.44,0.0,543293
2019-05-22,55.84,56.25,54.93,55.23,0.0,343904
2019-05-21,54.97,56.41,54.85,56.2,0.0,605462
2019-05-20,54.01,55.35,53.61,54.67,0.0,670737
2019-05-17,54.76,55.74,54.13,54.42,0.0,703785
2019-05-16,54.53,55.37,54.17,55.08,0.0,731216
2019-05-15,54.03,54.65,53.51,54.24,0.0,507455
2019-05-14,54.4,54.79,53.79,54.46,0.0,350272
2019-05-13,55.49,55.73,53.52,54.19,0.0,582432
2019-05-10,56.61,56.61,55.01,56.34,0.0,566736
2019-05-09,57.48,57.85,56.38,56.74,0.0,611023
2019-05-08,58.27,58.56,57.47,57.57,0.0,291208
2019-05-07,58.75,59.51,57.81,58.28,0.0,338087
